,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
30,LeslieFeffer,"You have no clue what immunity is, let alone the concept of herd immunity. Nobody even knows if there is any immunity conferred by COVID-19. Stop talking about things you don’t understand",2020-06-29 22:02:19+00:00,0.0,0.0,,,covid
31,Dozeyork,"There should be checkpoints on ny entryways to make sure people coming into the state, aren’t infected with covid, but nah let’s just worry about the peaceful protests..",2020-06-29 22:02:00+00:00,0.0,0.0,,,covid
32,laseptimavieja,stop hiding behind Covid @MarkLevineNYC ..commit to voting NO if...,2020-06-29 21:59:41+00:00,0.0,0.0,@MarkLevineNYC,,covid
33,mrbatlleoficial,1 in 3 women worldwide has experienced some form of physical or sexual violence in their lives. Due to the COVID-19 crisis more and more women and girls are at risk of gender-based violence. This needs to end!… https://www.instagram.com/p/CCCPJP2hsty/?igshid=1tv4ef4z71fq6,2020-06-29 21:59:08+00:00,0.0,0.0,,,covid
34,5teventhegreat,"Corporations don’t catch COVID, we do... #extendandsuspend",2020-06-29 21:56:36+00:00,0.0,0.0,,#extendandsuspend,covid
35,JuniousSmithIII,Lenoir County reports 11th death from COVID-19 Monday ,2020-06-29 21:51:17+00:00,0.0,0.0,,,covid
36,BoysGirlsNewark,S P E C I A L • T H A N K S ! We want to recognize alticeusa for their support during this time through @bgca_clubs COVID-19 Relief Fund! This donation wouldn't be possible without the Altice team that made… https://www.instagram.com/p/CCCNj5pFLsF/?igshid=ohmlzxcr6mdr,2020-06-29 21:45:20+00:00,0.0,2.0,@BGCA_Clubs,,covid
37,AD_Foster,I’m pointing at YOU #BunkerBitch He who hasn’t taken COVID-19 (see how easy it was to say that) seriously from D1. And then took $$away from WHO. @realDonaldTrump couldn’t handle a national disaster/epidemic/pandemic if his ‘white power choir’ depended on it!,2020-06-29 21:44:19+00:00,0.0,0.0,@realDonaldTrump,#BunkerBitch,covid
38,nycbookwriter,"Um, no. Do you live here?! No, we’re worried about COVID, summer spikes, and the second wave. The crime here is relatively low. Graffiti might be up, but not gunfire and mass crime. Not at all.",2020-06-29 21:41:01+00:00,0.0,2.0,,,covid
39,MonaKinkCurlz,"American Airlines will resume booking flights to capacity, as COVID-19 cases soar ",2020-06-29 21:36:44+00:00,0.0,0.0,,,covid
