,User,Text,Date,Favorites,Retweets,Mentions,HashTags,Search Keywords
898,maureensi,"@NYGovCuomo It is despicable that you refuse to pass Elder Parole &amp; Fair &amp; Timely Parole to #FreeOurElders , Save Lives &amp; prevent spread of COVID. @RAPPcampaign",2020-05-27 16:36:43+00:00,0.0,0.0,@NYGovCuomo @RAPPcampaign,#FreeOurElders,covid
899,FlorenciLiranzo,No más extensión con ella no se ha logrado nada más que coger ventaja política por parte del PLD. La oposición no puede temer a que las verdaderas cifras del Covid-19 salgan a luz pública desde que ellos no aprueben la extensión. El pueblo es inteligente. #noalaextension #nomas,2020-05-27 16:34:50+00:00,0.0,0.0,,#noalaextension #nomas,covid
900,actravlr,We lost a Monsignor and another priest on Staten Island to Covid. There are other congregations around the country who've spread Coronavirus and some have died. Home Depot or Walmart don't have you sitting in a pew for 30mins to an hour. We must open in a smart way. Pray alone,2020-05-27 16:29:37+00:00,1.0,3.0,,,covid
901,uche_blackstock,"WATCH NOW: Live testimony in front of the Ways and Means committee on #Covid_19 racial disparities. Speakers include @DrIbram, @TomSequist @AliciaFMD.",2020-05-27 16:28:34+00:00,16.0,69.0,@DrIbram @TomSequist @AliciaFMD,#Covid_19,covid
902,engagecurrent,"30 families washed 398 loads of laundry yesterday during our NYC COVID-19 #LaundryProject Relief efforts! Shout out to our partners @AllNationsBapti, @woodhavenbid, Wash-Dry Around The Clock Laundromat, @mollyssuds, &amp; to fellow #HopeDealer Maria Acuña for leading the project!",2020-05-27 16:27:03+00:00,3.0,12.0,@AllNationsBapti @woodhavenbid @mollyssuds,#LaundryProject #HopeDealer,covid
903,T_Manno,Imagine escaping Covid-19 but then PEOPLE kill you! Smh #BlackLivesMatter #iCantBreathe #iCantBreatheAgain #JusticeForGeorge #JusticeForGeorgeFloyd,2020-05-27 16:25:42+00:00,0.0,0.0,,#BlackLivesMatter #BlackLivesMatter #iCantBreathe #iCantBreatheAgain #JusticeForGeorge #JusticeForGeorgeFloyd,covid
904,maureensi,"@BrianKavanaghNY Again as your constituent It is imperative that you work to ensure that Elder Parole is passed THIS session to #FeeeOurElders , save lives &amp; prevent spread of COVID-19. Act Now! @RAPPcampaign @laurawhitehorn",2020-05-27 16:23:47+00:00,0.0,0.0,@BrianKavanaghNY @RAPPcampaign @laurawhitehorn,#FeeeOurElders,covid
905,jtp2106,Getting covid to watch Pitt football,2020-05-27 16:21:52+00:00,0.0,0.0,,,covid
906,watergatesummer,CDC updates 5/26/20 post COVID Guidelines ,2020-05-27 16:18:15+00:00,1.0,0.0,,,covid
907,iris4justice,"Olvidense de la perrera y traten de buscarle un hogar,tendra algunos 2 anos.Ningun perrito se merece maltrato y desprecio.Espero que COVID_19 sea una experiencia y no quitarle la Vida a nadie.Valorar y respetar lo que tenemos.Un animalito no es un estorvo,es compania.",2020-05-27 16:17:46+00:00,0.0,0.0,,,covid
908,watergatesummer,Research on when COVID did come to this country..... ,2020-05-27 16:14:59+00:00,0.0,1.0,,,covid
909,CI_Rising,"4) OPTIONAL- due to the COVID-19 pandemic, you can register for an absentee ballot and forgo going to the polls on primary day. Sign up for your absentee ballot here https://nycabsentee.com/",2020-05-27 16:13:46+00:00,1.0,1.0,,,covid
910,sinceredecoded,"Fuck Karen, Becky, cracker cops, these racist fucks along wit this Covid, shit hit different, who the fuck is Karen anyway",2020-05-27 16:11:26+00:00,0.0,0.0,,,covid
911,maureensi,@BrianKavanaghNY I am a constituent in your district &amp; met with you in the past asking you to support the Elder Parole Bill. What are you doing to ensure it passes before the session ends? We need to save lives &amp; prevent COVID-19 &amp; #FreeOurElders Time to Act! @laurawhitehorn,2020-05-27 16:09:18+00:00,1.0,1.0,@BrianKavanaghNY @laurawhitehorn,#FreeOurElders,covid
